Source:,NIST-TuningCorrected, NIST-TuningCorrected, NIST-TuningCorrected
Molecules,CO, CO2, Ethylene (Ethene)
Electron Numbers,14, 22, 16
ionizationEfficiencies,1.0, 1.342857142857143, 1.0857142857142859
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,28.01, 44.01, 28.0532
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,6.132114125842048402e+00,1.385514751928736032e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.153810315626472738e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.645590997057730931e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.068653717163474237e+00,1.425748397956868097e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.547474505203576989e+00,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.448470901835491986e+00
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.182601487215093172e+00
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.461005634242504669e+01
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.332545620828447142e+01
2.800000000000000000e+01,1.000000000000000000e+02,1.196170444282760847e+01,1.000000000000000000e+02
2.900000000000000000e+01,1.182246586499811958e+00,0.000000000000000000e+00,2.265972623209502768e+00
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00,1.189739063852914169e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
