Source:,NIST-TuningCorrected
Molecules,Ethanol
Electron Numbers,26
ionizationEfficiencies,1.5142857142857142
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,46.0684
2.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.862486843281044635e+00
1.400000000000000000e+01,1.909228536033290125e+00
1.500000000000000000e+01,8.592223367392090694e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,3.371170993301273899e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,2.693779100108383506e+00
2.600000000000000000e+01,1.061767422649058545e+01
2.700000000000000000e+01,2.378485907808375188e+01
2.800000000000000000e+01,3.606193550163649508e+00
2.900000000000000000e+01,3.073673009667450984e+01
3.000000000000000000e+01,8.238944792876100820e+00
3.100000000000000000e+01,1.000000000000000000e+02
3.300000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,1.209212575432481840e+00
4.200000000000000000e+01,4.141303211795263728e+00
4.300000000000000000e+01,9.898550029906010295e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,4.376220985736383540e+01
4.600000000000000000e+01,1.823431239739768017e+01
4.700000000000000000e+01,0.000000000000000000e+00
