Source:,NIST-TuningCorrected
Molecules,Ethylene (Ethene)
Electron Numbers,16
ionizationEfficiencies,1.0857142857142859
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,28.0532
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.558451427411081669e-01
1.200000000000000000e+01,6.523525665489002812e-01
1.300000000000000000e+01,1.153810315626472738e+00
1.400000000000000000e+01,2.645590997057730931e+00
1.500000000000000000e+01,3.714259376279235858e-01
1.600000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,2.448470901835491986e+00
2.500000000000000000e+01,8.182601487215093172e+00
2.600000000000000000e+01,5.461005634242504669e+01
2.700000000000000000e+01,6.332545620828447142e+01
2.800000000000000000e+01,1.000000000000000000e+02
2.900000000000000000e+01,2.265972623209502768e+00
3.000000000000000000e+01,9.707984139377554000e-02
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00
