Mass,ethyne,ethene,ethane,1butanal
12.0,2.0,2.0,2.0,2.0000094134024806
13.0,2.0,2.0,2.0,2.0000690810093174
14.0,2.0,2.0,2.0,2.001721986537922
15.0,2.0,2.0,2.0,2.022050250923451
16.0,2.0,2.0,2.0,2.0000425677374616
17.0,2.0,2.0,2.0,2.000139615753946
18.0,0.0,0.0,0.0,2.004801618654324
19.0,0.0,0.0,0.0,2.0001082622029136
20.0,0.0,0.0,0.0,2.0000314608295997
21.0,2.0,2.0,2.0,0.0
22.0,2.0,2.0,2.0,0.0
24.0,2.0,2.0,2.0,nan
25.0,2.0,2.0,2.0,nan
26.0,2.0,2.0,2.0,2.0465549753442605
27.0,2.0,2.0,2.0,3.8089585614456496
28.0,2.0,2.0,2.0,2.137252180636778
29.0,2.0,2.0,2.0,3.809471661624002
30.0,2.0,2.0,2.0,2.002239320539804
31.0,0.0,0.0,0.0,2.0194062661232164
36.0,0.0,0.0,0.0,2.000256924263389
37.0,0.0,0.0,0.0,2.0081930134509816
38.0,0.0,0.0,0.0,2.0001819980692117
