Source:,measured
Molecules,GasMixture
Electron Numbers,1
ionizationEfficiencies,0.4428571428571429
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,1
2.000000000000000000e+00,1.078571428571428736e+00
1.200000000000000000e+01,1.078571428571428736e+00
1.300000000000000000e+01,2.414285714285714590e+00
1.400000000000000000e+01,4.228571428571429536e+00
1.500000000000000000e+01,4.278571428571429358e+00
1.600000000000000000e+01,1.271428571428571686e-01
2.400000000000000000e+01,2.321428571428572063e+00
2.500000000000000000e+01,8.642857142857145902e+00
2.600000000000000000e+01,4.735714285714286831e+01
2.700000000000000000e+01,4.028571428571429891e+01
2.800000000000000000e+01,1.000000000000000142e+02
2.900000000000000000e+01,1.614285714285714590e+01
3.000000000000000000e+01,1.542857142857143060e+01
3.100000000000000000e+01,1.078571428571428736e+00
