Temp,H2O Concentration Relative to CO
176.8481,579.4106885835688
176.8945,579.4106885835688
176.8788,579.4106885835688
176.7941,579.4106885835688
176.7974,579.4106885835688
176.8505,579.4106885835688
176.9009,579.4106885835688
176.9665,579.4106885835688
176.9055,579.4106885835688
176.8099,579.4106885835688
176.8533,579.4106885835688
176.9335,579.4106885835688
176.881,579.4106885835688
176.8105,579.4106885835688
176.8207,579.4106885835688
176.7429,579.4106885835688
176.7739,579.4106885835688
176.8874,579.4106885835688
176.8942,579.4106885835688
176.8326,579.4106885835688
176.8189,579.4106885835688
176.8509,579.4106885835688
176.8443,579.4106885835688
176.9281,579.4106885835688
176.9268,579.4106885835688
176.8664,579.4106885835688
176.914,579.4106885835688
176.883,579.4106885835688
176.9234,579.4106885835688
176.8343,579.4106885835688
176.8869,579.4106885835688
176.8666,579.4106885835688
176.8004,579.4106885835688
176.889,579.4106885835688
177.0114,579.4106885835688
176.8458,579.4106885835688
176.9231,579.4106885835688
176.9848,579.4106885835688
177.0193,579.4106885835688
177.032,579.4106885835688
176.9611,579.4106885835688
176.8494,579.4106885835688
176.9185,579.4106885835688
176.8734,579.4106885835688
176.9646,579.4106885835688
176.9394,579.4106885835688
176.8496,579.4106885835688
176.9133,579.4106885835688
176.7969,579.4106885835688
176.792,579.4106885835688
176.7845,579.4106885835688
176.8007,579.4106885835688
176.9141,579.4106885835688
176.8142,579.4106885835688
176.7997,579.4106885835688
176.7839,579.4106885835688
176.8388,579.4106885835688
176.9101,579.4106885835688
177.0272,579.4106885835688
177.0201,579.4106885835688
176.969,579.4106885835688
177.0026,579.4106885835688
176.9059,579.4106885835688
176.8848,579.4106885835688
176.8855,579.4106885835688
176.9602,579.4106885835688
177.023,579.4106885835688
176.9497,579.4106885835688
176.8147,579.4106885835688
176.8542,579.4106885835688
176.9009,579.4106885835688
176.9337,579.4106885835688
176.8691,579.4106885835688
176.9353,579.4106885835688
176.9734,579.4106885835688
176.9555,579.4106885835688
176.8202,579.4106885835688
176.9251,579.4106885835688
176.8746,579.4106885835688
177.0054,579.4106885835688
177.0023,579.4106885835688
177.0163,579.4106885835688
177.1247,579.4106885835688
177.248,579.4106885835688
177.2921,579.4106885835688
177.5623,579.4106885835688
177.7207,579.4106885835687
177.9972,579.4106885835687
178.29,579.4106885835686
178.6543,579.4106885835685
179.0592,579.4106885835685
179.3064,579.4106885835685
179.7101,579.4106885835688
180.1774,579.4106885835689
180.5681,579.4106885835689
180.8962,579.4106885835688
181.384,579.4106885835687
181.8506,579.4106885835687
182.297,579.4106885835687
182.8438,579.4106885835686
183.2631,579.4106885835689
183.6243,579.4106885835685
184.0933,579.4106885835685
184.5898,579.4106885835686
185.0357,579.4106885835688
185.4777,579.4106885835688
185.9069,579.4106885835689
186.4914,579.4106885835685
187.0203,579.4106885835688
187.6229,579.4106885835685
188.1595,579.4106885835685
188.6697,579.4106885835687
189.3571,579.4106885835686
189.9038,579.4106885835682
190.5653,579.4106885835685
191.2235,579.4106885835685
191.9041,579.4106885835687
192.46,579.4106885835689
193.0445,579.4106885835686
193.7611,579.4106885835688
194.4817,579.4106885835686
195.1538,579.4106885835689
195.7753,579.4106885835685
196.417,579.4106885835685
197.0638,579.4106885835686
197.6513,579.4106885835683
198.3369,579.4106885835688
199.1706,579.4106885835688
199.7659,579.4106885835686
