Mass,2butenalE(crotonaldehyde),2buteneE,13butadiene,acetone,diethylether,ethanol
1.0,nan,2.0,nan,nan,nan,nan
2.0,nan,2.0,2.0,nan,nan,nan
12.0,nan,2.0,2.0,nan,nan,2.0
13.0,nan,2.0,2.0,2.0,2.0,2.0
14.0,nan,2.0,2.0,2.0,2.0,2.0
15.0,nan,2.0,2.0,2.0,2.0,2.0
16.0,nan,2.0,2.0,2.0,nan,nan
17.0,nan,nan,nan,nan,nan,2.0
18.0,nan,nan,nan,nan,2.0,2.0
19.0,nan,nan,2.0,nan,2.0,2.0
24.0,nan,2.0,2.0,nan,nan,2.0
25.0,2.0,2.0,2.0,2.0,2.0,2.0
26.0,2.0,2.0,2.0,2.0,2.0,2.0
27.0,2.0,2.0,2.0,2.0,2.0,2.0
28.0,nan,2.0,2.0,2.0,2.0,2.0
29.0,2.0,2.0,2.0,2.0,2.0,2.0
30.0,2.0,2.0,nan,nan,2.0,2.0
31.0,2.0,nan,nan,2.0,2.0,2.0
32.0,nan,nan,nan,nan,2.0,nan
33.0,2.0,nan,nan,nan,2.0,2.0
36.0,2.0,2.0,2.0,2.0,nan,nan
37.0,2.0,2.0,2.0,2.0,nan,nan
38.0,2.0,2.0,2.0,2.0,nan,nan
39.0,2.0,2.0,2.0,2.0,2.0,nan
40.0,2.0,2.0,2.0,2.0,nan,nan
41.0,2.0,2.0,2.0,2.0,2.0,2.0
42.0,2.0,2.0,nan,2.0,2.0,2.0
43.0,2.0,2.0,nan,2.0,2.0,2.0
44.0,nan,nan,nan,2.0,2.0,2.0
45.0,nan,nan,nan,nan,2.0,2.0
46.0,nan,nan,nan,nan,2.0,2.0
47.0,nan,nan,nan,nan,2.0,2.0
48.0,2.0,2.0,2.0,nan,nan,nan
49.0,2.0,2.0,2.0,nan,nan,nan
50.0,2.0,2.0,2.0,nan,nan,nan
51.0,2.0,2.0,2.0,nan,nan,nan
52.0,2.0,2.0,2.0,nan,nan,nan
53.0,2.0,2.0,2.0,nan,nan,nan
54.0,2.0,2.0,2.0,nan,nan,nan
55.0,2.0,2.0,2.0,nan,nan,nan
56.0,nan,2.0,2.0,nan,nan,nan
57.0,nan,2.0,nan,2.0,2.0,nan
58.0,nan,2.0,nan,2.0,2.0,nan
59.0,nan,nan,nan,2.0,2.0,nan
60.0,nan,nan,nan,nan,2.0,nan
61.0,nan,nan,nan,nan,2.0,nan
66.0,2.0,nan,nan,nan,nan,nan
67.0,2.0,nan,nan,nan,nan,nan
68.0,2.0,nan,nan,nan,nan,nan
69.0,2.0,nan,nan,nan,nan,nan
70.0,2.0,nan,nan,nan,nan,nan
71.0,2.0,nan,nan,nan,nan,nan
72.0,2.0,nan,nan,nan,2.0,nan
73.0,nan,nan,nan,nan,2.0,nan
74.0,nan,nan,nan,nan,2.0,nan
75.0,nan,nan,nan,nan,2.0,nan
