Source:,Measured, Measured, Measured
Molecules,Acetylene, Ethylene, Ethane
Electron Numbers,24, 38, 40
ionizationEfficiencies,1.4285714285714284, 2.0285714285714285, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,26.04, 28.05, 30.07
2.000000000000000000e+00,8.211091234347049905e+00,1.020207534456720300e+00,1.309782608695652106e+00
4.000000000000000000e+00,1.046511627906976903e-02,8.739420125737152809e-03,1.334239130434782677e-02
1.400000000000000000e+01,4.239713774597495544e-01,4.431944242579663462e-01,4.592391304347826164e+00
1.500000000000000000e+01,1.245080500894454462e-01,8.629189343976619853e-01,6.467391304347825942e-01
1.600000000000000000e+01,1.261180679785331091e-02,5.604915827074446327e-02,3.777173913043477965e-02
1.800000000000000000e+01,4.096601073345259580e-01,1.337007695377890659e+00,1.043478260869565188e+00
2.500000000000000000e+01,1.000000000000000000e+02,2.169853345874945560e+01,1.021739130434782616e+01
2.600000000000000000e+01,2.450805008944543673e+00,1.000000000000000000e+02,6.249999999999999289e+01
2.700000000000000000e+01,2.969588550983899733e+00,2.226453658003482605e+00,5.978260869565216495e+01
2.800000000000000000e+01,1.146690518783542168e-01,1.268711731215794725e+00,1.000000000000000000e+02
2.900000000000000000e+01,1.806797853309481325e-02,9.285595778844314696e-02,2.141304347826086918e+00
3.000000000000000000e+01,8.264758497316636310e-03,1.226811802674619700e-02,2.567934782608695399e-02
3.200000000000000000e+01,1.949910554561717566e-02,2.028221548461613816e-02,3.641304347826086751e-02
4.000000000000000000e+01,1.788908765652952060e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,1.932021466905187862e-02,2.500065513136928708e-01,6.929347826086955375e-02
