Source:,NIST Webbook-TuningCorrected
Molecules,Acetaldehyde
Electron Numbers,24
ionizationEfficiencies,1.0
ionizationEfficienciesSources,unknown
Molecular Mass,44.05
1.200000000000000000e+01,9.000900090009000820e-01
1.300000000000000000e+01,2.990299029902990569e+00
1.400000000000000000e+01,1.089108910891089188e+01
1.500000000000000000e+01,3.649364936493649481e+01
1.600000000000000000e+01,5.690569056905690815e+00
1.700000000000000000e+01,3.000300030003000273e-01
1.800000000000000000e+01,1.090109010901090247e+00
1.900000000000000000e+01,1.000100010001000184e-01
2.100000000000000000e+01,1.000100010001000184e-01
2.400000000000000000e+01,7.000700070007001008e-01
2.500000000000000000e+01,2.390239023902390514e+00
2.600000000000000000e+01,5.490549054905490500e+00
2.700000000000000000e+01,3.590359035903590623e+00
2.800000000000000000e+01,3.290329032903290596e+00
2.900000000000000000e+01,1.000000000000000000e+02
3.100000000000000000e+01,3.000300030003000273e-01
4.000000000000000000e+01,1.090109010901090247e+00
4.100000000000000000e+01,5.090509050905090760e+00
4.200000000000000000e+01,1.279127912791279265e+01
4.300000000000000000e+01,4.749474947494749699e+01
4.400000000000000000e+01,8.259825982598260907e+01
4.500000000000000000e+01,2.790279027902790254e+00
